collectionName,assetqualifiedDomain,scanName
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/dbo/test_1407,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/dbo/output-trident-Customers,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/Customer,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/dbo/DemoAddress,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/ProductModel,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/ProductDescription,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/Product,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/ProductModelProductDescription,test_scan_azure_sql_db_v3
AutomationTestColllection,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/ProductCategory,test_scan_azure_sql_db_v3
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/dbo/BuildVersion,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/dbo/ErrorLog,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/Address,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/CustomerAddress,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/SalesOrderDetail,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/SalesOrderHeader,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/sys/database_firewall_rules,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/sys/ipv6_database_firewall_rules,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/vProductModelCatalogDescription,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/vProductAndDescription,test_scan_azure_sql_db_v2
TestCol,mssql://opnhckdasqlsvr.database.windows.net/opnhckdasqldb/SalesLT/vGetAllCategories,test_scan_azure_sql_db_v2
